study,variable_id,outcome_type,denominator,derivation,source_questions,notes
rct,age_at_survey_w1,,,age of respondent at time of wave 1 survey,,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,age_at_survey_w2,,,age of respondent at time of wave 2 survey,,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,age_at_survey_w3,,,age of respondent at time of wave 3 survey,,source row used format A (description-only)
rct,bf_6m_chupon_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=baby under 6 months may be given chupon, 2=baby under 6 months should never be given a chupon",i2500,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,bf_6m_chupon_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=baby under 6 months may be given chupon, 2=baby under 6 months should never be given a chupon",i2500,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,bf_6m_chupon_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=baby under 6 months may be given chupon, 2=baby under 6 months should never be given a chupon",i2500,
rct,bf_6m_chupon_ka_w4,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=baby under 6 months may be given chupon, 2=baby under 6 months should never be given a chupon",i2500,MIRRORED from bf_6m_chupon_ka_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,bf_6m_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=baby under 6 months may be given foods or liquids besides breastmilk, 2=babies under 6 months should not be given foods or liquids besides breastmilk",i2400,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,bf_6m_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=baby under 6 months may be given foods or liquids besides breastmilk, 2=babies under 6 months should not be given foods or liquids besides breastmilk",i2400,MIRRORED from bf_6m_ka_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,bf_6m_ka_w3,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=baby under 6 months may be given foods or liquids besides breastmilk, 2=babies under 6 months should not be given foods or liquids besides breastmilk",i2400,
rct,bf_6m_ka_w4,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=baby under 6 months may be given foods or liquids besides breastmilk, 2=babies under 6 months should not be given foods or liquids besides breastmilk",i2400,MIRRORED from bf_6m_ka_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,bf_excl_nc_w1,practice,all respondents with a complete survey and a new child <=5 years old reported at wave 1,"999=refused, 0=don't know to any of breastfeeding questions used to decide exclusivity, 1=child was not exclusively breastfed for first 6 months of life, 2=child was exclusively breastfed for first 6 months of life and was not given a chupon","f5500, f6100, f6200, f6300, f6400, f6600p1, f6600p2, f6800, f6900, f7000, f7100, f7200",AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,bf_excl_nc_w2,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused, 0=don't know to any of breastfeeding questions used to decide exclusivity, 1=child was not exclusively breastfed for first 6 months of life, 2=child was exclusively breastfed for first 6 months of life and was not given a chupon","f5500, f6100, f6200, f6300, f6400, f6600p1, f6600p2, f6800, f6900, f7000, f7100, f7200",MIRRORED from bf_excl_nc_w3; derivation applies analogously with the wave window shifted; verify against actual data files
rct,bf_excl_nc_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused, 0=don't know to any of breastfeeding questions used to decide exclusivity, 1=child was not exclusively breastfed for first 6 months of life, 2=child was exclusively breastfed for first 6 months of life and was not given a chupon","f5500, f6100, f6200, f6300, f6400, f6600p1, f6600p2, f6800, f6900, f7000, f7100, f7200",
rct,bf_excl_w1,practice,all respondents with a complete survey and a new child <=5 years old reported at wave 1,"999=refused, 0=don't know to any of breastfeeding questions used to decide exclusivity, 1=child was not exclusively breastfed for first 6 months of life, 2=child was exclusively breastfed for first 6 months of life","f5500, f6100, f6200, f6300, f6400, f6600p1, f6600p2, f6800",AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,bf_excl_w2,practice,all respondents with a complete survey and a new child reported at wave 2 or youngest child reported at wave 2 baseline if dob<2015-09- 01,"999=refused, 0=don't know to any of breastfeeding questions used to decide exclusivity, 1=child was not exclusively breastfed for first 6 months of life, 2=child was exclusively breastfed for first 6 months of life","f5500, f6100, f6200, f6300, f6400, f6600p1, f6600p2, f6800",AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
rct,bf_excl_w3,practice,all respondents with a complete survey and a child born since 2018-09-01 (after the end of the intervention),"999=refused, 0=don't know to any of breastfeeding questions used to decide exclusivity, 1=child was not exclusively breastfed for first 6 months of life, 2=child was exclusively breastfed for first 6 months of life","f5500, f6100, f6200, f6300, f6400, f6600p1, f6600p2, f6800",
rct,bf_imm_ka_w1,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=baby should not be put to the breast immediately after birth, 2=baby should be put to the breast immediately after birth",i2300,AUTO-HARVESTED from honduras_WAVE1_metadata.pdf via pdfplumber table extraction
rct,bf_imm_ka_w2,knowledge and attitudes,all respondents with a complete survey,"999=refused, 0=don't know, 1=baby should not be put to the breast immediately after birth, 2=baby should be put to the breast immediately after birth",i2300,AUTO-HARVESTED from honduras_WAVE2_metadata.pdf via pdfplumber table extraction
