header,question_type,question_english,question_spanish,option_code,option_english,option_spanish,question_order
mb_z0001,multiple_choice,PLEASE REVIEW CONSENT SCRIPT WITH THE PARTICIPANT. Do you have any questions? Would you like to participate in this study?,"LEER GUION DE CONSENTIMIENTO INFORMADO CON EL PARTICIPANTE

¿Tiene usted alguna pregunta? ¿Desea usted participar en este estudio?",1,Yes,Si,1
mb_z0001,multiple_choice,PLEASE REVIEW CONSENT SCRIPT WITH THE PARTICIPANT. Do you have any questions? Would you like to participate in this study?,"LEER GUION DE CONSENTIMIENTO INFORMADO CON EL PARTICIPANTE

¿Tiene usted alguna pregunta? ¿Desea usted participar en este estudio?",2,No,No,1
mb_z0001x,multiple_choice,Why was consent not obtained?,Porque no se obtuvo consentimiento?,1,Refused,No quiso participar,2
mb_z0001x,multiple_choice,Why was consent not obtained?,Porque no se obtuvo consentimiento?,2,"Participant unable to provide consent (cognitively impaired, difficulty demonstrating comprehension)","No pudo dar consentimiento (falla de cognicion, demuestra poca capacidad de comprension)",2
mb_z0001x,multiple_choice,Why was consent not obtained?,Porque no se obtuvo consentimiento?,3,Other,"Otro, especifique:",2
mb_m00,text,PLACE BARCODE STICKER 00 ON THE PARTICIPANT INFORMATION SHEET AND SCAN IT.,POR FAVOR COLOQUE EL ESTICKER CON EL CÓDIGO DE BARRAS 00 EN LA HOJA DEL PARTICIPANTE Y ESCANÉELO.,NA,NA,NA,3
mb_c005,relationship,What is the name of your partner?,¿Cómo se llama su pareja?,NA,NA,NA,4
mb_m01_1,text,PLEASE SCAN THE BARCODE ON THE PARTICIPANT SHEET.,POR FAVOR ESCANEE EL CODIGO DE BARRA DE LA HOJA DEL PARTICIPANTE.,NA,NA,NA,5
mb_m01,text,PLEASE SCAN THE TUBE WITH BARCODE ENDING IN 01 FROM THE PARTICIPANT TUBE BAG,POR FAVOR ESCANEE EL TUBO #01 DE LA BOLSA DEL PARTICIPANTE.,NA,NA,NA,6
mb_d0100,decimal,We will now take your weight: ENTER WEIGHT (kg) AND WRITE IT DOWN ON THE PARTICIPANT'S SHEET IN LBS,Ahora le tomaremos su peso: INGRESE PESO (kg) ESCRIBA EL PESO DEL PARTICIPANTE EN LA HOJA DEL PARTICIPANTE,NA,NA,NA,7
mb_d0200,decimal,We will now measure your height: ENTER HEIGHT (cm) AND WRITE IT DOWN ON THE PARTICIPANT'S SHEET IN MTS,"Ahora le tomaremos su altura: INGRESE ALTURA (cm), ESCRIBA LA ALTURA DEL PARTICIPANTE EN LA HOJA DEL PARTICIPANTE.",NA,NA,NA,8
mb_d0300,integer,ENTER PARTICIPANT'S SYSTOLIC BLOOD PRESSURE AND WRITE IT ON THE PARTICIPANT'S INFO SHEET,INGRESE LA PRESIÓN SISTÓLICA DEL PARTICIPANTE Y ESCRÍBALA EN LA HOJA DEL PARTICIPANTE.,NA,NA,NA,9
