study,variable_id,wave,option_code,label_en,label_en_male,label_es,label_es_male
rct,13800a,2,a,Malnutrition,,La malnutricion,
rct,13800b,2,b,Bleeding with period,,Sangrado del periodo (menstruacion),
rct,13800c,2,c,Not eating iron-rich food,,El no comer alimentos ricos en hierro,
rct,a0200,1,1,Yes,,Sí,
rct,a0200,1,2,No,,No,
rct,a0200,2,1,Yes,,Sí,
rct,a0200,2,2,No,,No,
rct,a0200,3,1,Yes,,Sí,
rct,a0200,3,2,No,,No,
rct,a0200,4,1,Yes,,Sí,
rct,a0200,4,2,No,,No,
rct,a0400,1,1,Yes,,Sí,
rct,a0400,1,2,No,,No,
rct,a0400,2,1,Yes,,Sí,
rct,a0400,2,2,No,,No,
rct,a0400,3,1,Yes,,Sí,
rct,a0400,3,2,No,,No,
rct,a0400,4,1,Yes,,Sí,
rct,a0400,4,2,No,,No,
rct,a1100,1,1,Yes,,Sí,
rct,a1100,1,2,No,,No,
rct,a1100,2,1,Yes,,Sí,
rct,a1100,2,2,No,,No,
rct,a1100,3,1,Yes,,Sí,
rct,a1100,3,2,No,,No,
rct,a1100,4,1,Yes,,Sí,
rct,a1100,4,2,No,,No,
rct,a1300,1,1,Yes,,Sí,
rct,a1300,1,2,No,,No,
rct,a1300,2,1,Yes,,Sí,
rct,a1300,2,2,No,,No,
rct,a1300,3,1,Yes,,Sí,
rct,a1300,3,2,No,,No,
rct,a1300,4,1,Yes,,Sí,
rct,a1300,4,2,No,,No,
rct,a2400,1,1,Yes,,Sí,
rct,a2400,1,2,No,,No,
rct,a2400,2,1,Yes,,Sí,
rct,a2400,2,2,No,,No,
rct,a2400,3,1,Yes,,Sí,
rct,a2400,3,2,No,,No,
rct,a2400,4,1,Yes,,Sí,
rct,a2400,4,2,No,,No,
rct,a2701,3,1,Every day,,Todos los días,
rct,a2701,3,2,A few days a week,,Algunos dias a la semana,
rct,a2701,3,3,A few days a month,,Algunos dias al mes,
rct,a2701,3,4,Rarely/never,,Raramente/nunca,
rct,a2701,4,1,Every day,,Todos los días,
rct,a2701,4,2,A few days a week,,Algunos dias a la semana,
rct,a2701,4,3,A few days a month,,Algunos dias al mes,
rct,a2701,4,4,Rarely/never,,Raramente/nunca,
rct,a2702,3,1,Almost every day,,Todos los días,
rct,a2702,3,2,About once a week,,Algunos dias a la semana,
rct,a2702,3,3,A few times a month,,Algunos dias al mes,
rct,a2702,3,4,About once a month or less,,Raramente/nunca,
rct,a2702,4,1,Almost every day,,Todos los días,
rct,a2702,4,2,About once a week,,Algunos dias a la semana,
rct,a2702,4,3,A few times a month,,Algunos dias al mes,
rct,a2702,4,4,About once a month or less,,Raramente/nunca,
rct,a2703a,3,a,A smile,,Una sonrisa,
rct,a2703a,4,a,A smile,,Una sonrisa,
rct,a2703b,3,b,"A gesture such as a bow, nod or wave",,"Un gesto, como inclinar la cabeza o cuerpo, mover la mano",
rct,a2703b,4,b,"A gesture such as a bow, nod or wave",,"Un gesto, como inclinar la cabeza o cuerpo, mover la mano",
rct,a2703c,3,c,A verbal salute (like saying hello),,"Un saludo verbal (como decir hola, buen dia)",
rct,a2703c,4,c,A verbal salute (like saying hello),,"Un saludo verbal (como decir hola, buen dia)",
rct,a2703d,3,d,A handshake or hi-five,,Se dan o chocan la mano abrazan,
rct,a2703d,4,d,A handshake or hi-five,,Se dan o chocan la mano abrazan,
rct,a2703e,3,e,A pat on the back,,Una palmada en la espalda,
rct,a2703e,4,e,A pat on the back,,Una palmada en la espalda,
rct,a2703f,3,f,A hug,,Un abrazo,
rct,a2703f,4,f,A hug,,Un abrazo,
rct,a2703g,3,g,A kiss on the cheek,,Un beso en el cachete/mejilla,
rct,a2703g,4,g,A kiss on the cheek,,Un beso en el cachete/mejilla,
rct,a2703h,3,h,Other [Specify:],,Otro: (especificar):,
rct,a2703h,4,h,Other [Specify:],,Otro: (especificar):,
rct,a2704a,3,a,A smile,,Una sonrisa,
rct,a2704a,4,a,A smile,,Una sonrisa,
rct,a2704b,3,b,"A gesture such as a bow, nod or wave",,"Un gesto, como inclinar la cabeza o cuerpo, mover la mano",
rct,a2704b,4,b,"A gesture such as a bow, nod or wave",,"Un gesto, como inclinar la cabeza o cuerpo, mover la mano",
rct,a2704c,3,c,A verbal salute (like saying hello),,"Un saludo verbal (como decir hola, buen dia)",
rct,a2704c,4,c,A verbal salute (like saying hello),,"Un saludo verbal (como decir hola, buen dia)",
rct,a2704d,3,d,A handshake or hi-five,,Se dan o chocan la mano abrazan,
rct,a2704d,4,d,A handshake or hi-five,,Se dan o chocan la mano abrazan,
rct,a2704e,3,e,A pat on the back,,Una palmada en la espalda,
rct,a2704e,4,e,A pat on the back,,Una palmada en la espalda,
rct,a2704f,3,f,A hug,,Un abrazo,
rct,a2704f,4,f,A hug,,Un abrazo,
rct,a2704g,3,g,A kiss on the cheek,,Un beso en el cachete/mejilla,
rct,a2704g,4,g,A kiss on the cheek,,Un beso en el cachete/mejilla,
rct,a2704h,3,h,Other [Specify:],,Otro: (especificar):,
rct,a2704h,4,h,Other [Specify:],,Otro: (especificar):,
rct,ab0100,4,1,"Change in preference, broken tie",,"Cambio en preferencia, se rompió la relación",
rct,ab0100,4,2,Change in sign (antagonism),,Cambio en el signo (antagonismo),
rct,ab0100,4,3,Avoidance,,Evitar/Ignorar,
rct,ab0100,4,4,Selection,,Selección,
rct,ab0100,4,5,Influence,,Influencia,
rct,ab0100,4,6,Person no longer available,,Persona no disponible,
rct,ab0100,4,7,Change in qualitative description of the relationship,,Cambio en la descripción de la relación,
rct,ab0100,4,8,Participant error,,Error del participante,
rct,ab0100,4,9,Other,,Otro,
rct,ab0200,4,1,"Change in preference, broken tie",,"Cambio en preferencia, se rompió la relación",
rct,ab0200,4,2,Change in sign (antagonism),,Cambio en el signo (antagonismo),
rct,ab0200,4,3,Avoidance,,Evitar/Ignorar,
rct,ab0200,4,4,Selection,,Selección,
rct,ab0200,4,5,Influence,,Influencia,
rct,ab0200,4,6,Person no longer available,,Persona no disponible,
rct,ab0200,4,7,Change in qualitative description of the relationship,,Cambio en la descripción de la relación,
rct,ab0200,4,8,Participant error,,Error del participante,
rct,ab0200,4,9,Other,,Otro,
rct,ab0300,4,1,"Change in preference, broken tie",,"Cambio en preferencia, se rompió la relación",
rct,ab0300,4,2,Change in sign (antagonism),,Cambio en el signo (antagonismo),
rct,ab0300,4,3,Avoidance,,Evitar/Ignorar,
rct,ab0300,4,4,Selection,,Selección,
rct,ab0300,4,5,Influence,,Influencia,
