variable_name,repeated_question,question_type,survey,question_english_women,question_english_men,option_code,option_english_women,option_english_men
a8886,0,intro,"w1 baseline, w2 baseline, all",Thank you again for taking part in our survey. Your participation is very valuable to us. Do you have any questions before we begin? We'd like to start by asking you some questions about the people in your family.,SAME,missing,missing,missing
a0200,0,multiple_choice,"w1 baseline, w2 baseline, all",Does your MOTHER live in this town?,SAME,"1, 2","Yes, No",SAME
a0300,0,relationship,"w1 baseline, w2 baseline, all",What is the name of your MOTHER?,SAME,missing,missing,missing
a0400,0,multiple_choice,"w1 baseline, w2 baseline, all",Does your FATHER live in this town?,SAME,"1, 2","Yes, No",SAME
a0500,0,relationship,"w1 baseline, w2 baseline, all",What is the name of your FATHER?,SAME,missing,missing,missing
a0600,0,integer,"w1 baseline, w2 baseline, all",How many siblings do you have?,SAME,missing,missing,missing
a0700,0,integer,"w1 baseline, w2 baseline, all",How many are brothers?,SAME,missing,missing,missing
a0800,0,integer,"w1 baseline, w2 baseline, all",How many are sisters?,SAME,missing,missing,missing
a0900,0,integer,"w1 baseline, w2 baseline, all",How many of these siblings are over the age of 12 and currently living or working in this village?,SAME,missing,missing,missing
a1000,0,relationship,"w1 baseline, w2 baseline, all",What are the names of your siblings over the age of 12 that live or work here?,SAME,missing,missing,missing
a1100,0,multiple_choice,"w1 baseline, w2 baseline, all","Do you have any CHILDREN who don’t live with you, but do live in this village over the age of 12?",SAME,"1, 2","Yes, No",SAME
a1200,0,relationship,"w1 baseline, w2 baseline, all",What are their names?,SAME,missing,missing,missing
a1300,0,multiple_choice,"w1 baseline, w2 baseline, all",Are you married or living in a civil union?,SAME,"1, 2","Yes, No",SAME
a1400,0,relationship,"w1 baseline, w2 baseline, all",What is the name of your partner?,SAME,missing,missing,missing
a8887,0,intro,"w1 baseline, w2 baseline, all","In the next section, we will ask you some questions about who are the people that you do different things with, and to name those people specifically. You can answer the questions with names of people who are OVER THE AGE OF 12 and WHO CURRENTLY LIVE OR WORK IN THIS VILLAGE ONLY. These people may include any friends, family, people you work with, people that work for you, neighbors, etc. When you answer these questions, you may answer with one person, more than one person, or say there is no one. You are free to include up to 5 people.

INTERVIEWER: The maximum input is 5 people. If the respondent gives a name, follow-up with: ""Is there anyone else?"". However, the respondent should not be pushed to provide 5 names, but know that this is the maximum number possible. If respondent names someone who is not in the respondent list, please ask ""Does this person currently live or work in this village?"" If the person does not live or work in the village, do not proceed to add them., In the next section, we will ask you some questions about who are the people that you do different things with, and to name those people specifically. You can answer the questions with names of people who are OVER THE AGE OF 12 and WHO CURRENTLY LIVE OR WORK IN THIS VILLAGE ONLY. These people may include any friends, family, people you work with, people that work for you, neighbors, etc. When you answer these questions, you may answer with one person, more than one person, or say there is no one. You are free to include up to 5 people.

INTERVIEWER: The maximum input is 5 people. If the respondent gives a name, follow-up with: ""Is there anyone else?"". However, the respondent should not be pushed to provide 5 names, but know that this is the maximum number possible. If respondent names someone who is not in the respondent list, please ask ""Does this person currently live or work in this village?"" If the person does not live or work in the village, do not proceed to add them.",SAME,missing,missing,missing
a1500,0,relationship,"w1 baseline, w2 baseline, all","Who do you trust to talk to about something personal or private? 

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one""., Who do you trust to talk to about something personal or private? 

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one"".",SAME,missing,missing,missing
a1600,0,relationship,"w1 baseline, w2 baseline, all","With whom do you spend free time?

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one""., With whom do you spend free time?

(including friends, family, people you work with, people who work for you, neighbors, etc. who live or work in this village)

INTERVIEWER: If the respondent gives a name, follow-up with: ""Is there anyone else?"". 
If respondent seems confused, you can add:
""Remember, you can answer the question with the name of anyone who lives or works in this town, including friends, family, people you work with, people that work for you, neighbors or it's OK if there is no one else."" If respondent has no one to name, please mark "" No one"".",SAME,missing,missing,missing
