study,variable_id,wave,level,variable_type,question_type,survey,repeated_question,question_text_en,question_text_en_male,question_text_es,question_text_es_male,notes,source_file
rct,13800a,2,respondent,survey,single,all,false,What do you think can cause anemia? Do not read responses.,,¿Cuáles cree usted que son las causas de la anemia?  NO LEA LAS RESPUESTAS,,level defaulted to respondent (not in any varnames sheet),honduras_WAVE2_codebook_v3.xlsx
rct,13800b,2,respondent,survey,multi,all,false,What do you think can cause anemia? Do not read responses.,,¿Cuáles cree usted que son las causas de la anemia?  NO LEA LAS RESPUESTAS,,level defaulted to respondent (not in any varnames sheet),honduras_WAVE2_codebook_v3.xlsx
rct,13800c,2,respondent,survey,multi,all,false,What do you think can cause anemia? Do not read responses.,,¿Cuáles cree usted que son las causas de la anemia?  NO LEA LAS RESPUESTAS,,level defaulted to respondent (not in any varnames sheet),honduras_WAVE2_codebook_v3.xlsx
rct,a0200,1,respondent,survey,single,w1 baseline,true,Does your MOTHER live in this town?,,¿Su MADRE vive en esta aldea?,,,honduras_WAVE1_codebook_v8.xlsx
rct,a0200,2,respondent,survey,single,w2 baseline,true,Does your MOTHER live in this town?,,¿Su MADRE vive en esta aldea?,,,honduras_WAVE2_codebook_v3.xlsx
rct,a0200,3,respondent,survey,single,all,true,Does your MOTHER live in this town?,,¿Su MADRE vive en esta aldea?,,,honduras_WAVE3_codebook_v3.xlsx
rct,a0200,4,respondent,survey,single,all,true,Does your MOTHER live in this town?,,¿Su MADRE vive en esta aldea?,,,honduras_WAVE4_codebook_v1.xlsx
rct,a0300,1,connection,survey,relationship,w1 baseline,true,What is the name of your MOTHER?,,¿Cómo se llama su MADRE?,,level auto-classified as connection (relationship-type question; not in varnames sheet),honduras_WAVE1_codebook_v8.xlsx
rct,a0300,2,connection,survey,relationship,w2 baseline,true,What is the name of your MOTHER?,,¿Cómo se llama su MADRE?,,level auto-classified as connection (relationship-type question; not in varnames sheet),honduras_WAVE2_codebook_v3.xlsx
rct,a0300,3,connection,survey,relationship,all,true,What is the name of your MOTHER?,,¿Cómo se llama su MADRE?,,level auto-classified as connection (relationship-type question; not in varnames sheet),honduras_WAVE3_codebook_v3.xlsx
rct,a0300,4,connection,survey,relationship,all,true,What is the name of your MOTHER?,,¿Cómo se llama su MADRE?,,level auto-classified as connection (relationship-type question; not in varnames sheet),honduras_WAVE4_codebook_v1.xlsx
rct,a0400,1,respondent,survey,single,w1 baseline,true,Does your FATHER live in this town?,,¿Su PADRE vive en esta aldea?,,,honduras_WAVE1_codebook_v8.xlsx
rct,a0400,2,respondent,survey,single,w2 baseline,true,Does your FATHER live in this town?,,¿Su PADRE vive en esta aldea?,,,honduras_WAVE2_codebook_v3.xlsx
rct,a0400,3,respondent,survey,single,all,true,Does your FATHER live in this town?,,¿Su PADRE vive en esta aldea?,,,honduras_WAVE3_codebook_v3.xlsx
rct,a0400,4,respondent,survey,single,all,true,Does your FATHER live in this town?,,¿Su PADRE vive en esta aldea?,,,honduras_WAVE4_codebook_v1.xlsx
rct,a0500,1,connection,survey,relationship,w1 baseline,true,What is the name of your FATHER?,,¿Cómo se llama su PADRE?,,level auto-classified as connection (relationship-type question; not in varnames sheet),honduras_WAVE1_codebook_v8.xlsx
